min_deviation,max_deviation,default_volatility,tau,first_advantage,rating_periods_per_day,avg_deviance
45,500,0.09,0.75,12,0.2,0.291332
45,500,0.09,1.1,12,0.2,0.291329
45,500,0.09,1.2,12,0.2,0.291328
45,500,0.09,1.3,12,0.2,0.291327
45,500,0.09,0.75,12,0.21436,0.291317
45,500,0.09,1.1,12,0.21436,0.291314
45,500,0.09,1.2,12,0.21436,0.291313
45,500,0.09,1.3,12,0.21436,0.291312
45,500,0.09,0.75,12,0.23,0.291301
45,500,0.09,1.1,12,0.23,0.291298
45,500,0.09,1.2,12,0.23,0.291297
45,500,0.09,1.3,12,0.23,0.291295
# ---
# Sample Blitz rating of thibault: 1831.6 (rd: 50.542, vola: 0.06731)
# Sample Blitz rating of german11: 1429.0 (rd: 45.000, vola: 0.09956)
# Sample Bullet rating of revoof: 1791.0 (rd: 123.718, vola: 0.08225)
# Sample Bullet rating of drnykterstein: 2959.9 (rd: 78.632, vola: 0.06269)
# Sample Bullet rating of penguingim1: 3119.2 (rd: 45.000, vola: 0.06989)
# Sample Blitz rating of lance5500: 2772.5 (rd: 51.105, vola: 0.05445)
# Sample Blitz rating of somethingpretentious: 2250.9 (rd: 45.000, vola: 0.04394)
# Sample Blitz rating of tbest: 2427.9 (rd: 58.560, vola: 0.07095)
# Sample Classical rating of igormezentsev: 2522.9 (rd: 64.762, vola: 0.08585)
# ---
# Estimated UltraBullet distribution: p1=1346.5 p10=1482.7 p50=1850.9 p90=2265.9 p99=2379.6, avg=1866.3
# Estimated Bullet distribution: p1=886.0 p10=1199.0 p50=1761.9 p90=2227.1 p99=2580.9, avg=1740.4
# Estimated Blitz distribution: p1=845.4 p10=1137.2 p50=1670.9 p90=2113.1 p99=2447.9, avg=1652.5
# Estimated Rapid distribution: p1=388.5 p10=709.7 p50=1239.6 p90=1707.9 p99=1998.1, avg=1225.3
# Estimated Classical distribution: p1=1124.2 p10=1222.0 p50=1588.3 p90=1847.9 p99=1963.1, avg=1549.3
# Estimated Correspondence distribution: p1=2448.4 p10=2448.4 p50=2448.4 p90=2448.4 p99=2448.4, avg=2448.4
# ---
# Distinct players: 18198891
# Processed encounters: 6012388632 (last at: 2024-09-30 23:59:54)
# Total errors: 0
# ---
