white,black,result,utc_date_time,time_control
bfg9k,mamalak,1-0,2012-12-31 23:01:03,600+8
desmond_wilson,savinka59,1-0,2012-12-31 23:04:12,480+2
kozakmamay007,vanillashamanilla,1-0,2012-12-31 23:03:15,420+17
naitero_nagasaki,800,0-1,2012-12-31 23:04:57,60+1
nichiren1967,naitero_nagasaki,0-1,2012-12-31 23:02:37,60+1
sport,shamirbj,1-0,2012-12-31 23:09:21,300+3
tiggran,arion_6,0-1,2012-12-31 23:02:14,300+0
hostking,troepianiz,1-0,2012-12-31 23:06:10,540+0
manos68,jtkjtkful,1-0,2012-12-31 23:03:50,900+0
adamsrj,hamiakaz,0-1,2012-12-31 23:02:48,180+5
bfg9k,sagaz,0-1,2012-12-31 23:07:33,600+8
arion_6,naitero_nagasaki,0-1,2012-12-31 23:09:29,300+8
kozakmamay007,vadi,1-0,2012-12-31 23:10:03,420+17
abd0,killi,1-0,2012-12-31 23:08:21,420+0
nichiren1967,chinokoli,1/2-1/2,2012-12-31 23:04:28,300+0
troepianiz,hostking,0-1,2012-12-31 23:15:00,540+0
voltvolf,marzinkus,1-0,2012-12-31 23:10:00,360+6
vanillashamanilla,mamalak,1-0,2012-12-31 23:09:26,1200+0
savinka59,desmond_wilson,1-0,2012-12-31 23:10:44,480+2
killi,abd0,1-0,2012-12-31 23:16:04,420+0
ghosty,jorespi,1-0,2012-12-31 23:09:39,300+0
6wx,adamsrj,1-0,2012-12-31 23:16:04,1560+30
georgek,b777,1-0,2012-12-31 23:12:39,300+2
chinokoli,nichiren1967,1-0,2012-12-31 23:11:15,300+0
sebastian44,ticotico,1-0,2012-12-31 23:12:46,300+5
federico,naitero_nagasaki,1-0,2012-12-31 23:12:31,300+0
hostking,troepianiz,0-1,2012-12-31 23:18:19,540+0
800,voltvolf,1-0,2012-12-31 23:17:15,60+1
jorespi,marzinkus,1-0,2012-12-31 23:18:24,360+6
omarojo,josefo,1-0,2012-12-31 23:18:49,300+8
cheesedout,pseudoknight,1-0,2012-12-31 23:18:51,60+0
abd0,killi,0-1,2012-12-31 23:19:01,420+0
j-jorjik,jesuss,1-0,2012-12-31 23:19:27,480+8
barriosgb2,boss92,0-1,2012-12-31 23:20:14,60+0
sport,georgek,0-1,2012-12-31 23:20:40,300+3
adamsrj,6wx,1-0,2012-12-31 23:21:14,1560+30
sebastian44,jtkjtkful,0-1,2012-12-31 23:24:11,300+5
migsan,marc0,1-0,2012-12-31 23:23:14,420+0
metrolog,b777,1-0,2012-12-31 23:22:12,180+15
desmond_wilson,ghosty,0-1,2012-12-31 23:25:46,240+0
naitero_nagasaki,arion_6,0-1,2012-12-31 23:26:10,300+8
tiggran,barriosgb2,1-0,2012-12-31 23:08:52,300+0
troepianiz,hostking,0-1,2012-12-31 23:25:04,540+0
pseudoknight,ben_dover,0-1,2012-12-31 23:26:03,60+1
ben_dover,pseudoknight,0-1,2012-12-31 23:28:33,60+1
jonathan_52,jtkjtkful,0-1,2012-12-31 23:28:46,60+0
migsan,marc0,1-0,2012-12-31 23:28:48,420+0
sebastian44,milligan,1-0,2012-12-31 23:29:30,300+5
killi,abd0,1-0,2012-12-31 23:30:54,420+0
jtkjtkful,jonathan_52,1-0,2012-12-31 23:30:58,60+0
6wx,adamsrj,0-1,2012-12-31 23:31:06,1560+30
jorespi,marzinkus,1/2-1/2,2012-12-31 23:31:18,360+6
pseudoknight,ben_dover,0-1,2012-12-31 23:31:51,60+0
desmond_wilson,sig,0-1,2012-12-31 23:32:14,420+9
ben_dover,pseudoknight,1-0,2012-12-31 23:33:24,60+0
cheesedout,sonie,0-1,2012-12-31 23:34:10,60+0
sebastian44,jtkjtkful,1-0,2012-12-31 23:34:23,300+5
barriosgb2,ghosty,1-0,2012-12-31 23:33:32,240+0
abd0,killi,0-1,2012-12-31 23:35:21,420+0
j-jorjik,maroz,0-1,2012-12-31 23:34:59,480+8
pseudoknight,ben_dover,0-1,2012-12-31 23:35:47,60+0
jonathan_52,1000,0-1,2012-12-31 23:34:22,60+0
1000,jonathan_52,1-0,2012-12-31 23:36:30,60+0
schutzstaffel,marc0,1-0,2012-12-31 23:37:20,60+0
rodney,neto391994,1-0,2012-12-31 23:30:49,480+0
sonie,gardo,1-0,2012-12-31 23:35:50,60+0
ricodelacasita,cheesedout,0-1,2012-12-31 23:36:49,60+0
tiggran,maslick,0-1,2012-12-31 23:37:54,300+0
